Function,Time(%),Time
malloc,36.15,31729806290
calloc,30.39,26667146203
pthread_getspecific,7.10,6232668603
pthread_self,4.26,3739009915
pthread_equal,3.98,3490024433
dlopen,3.43,3008613934
realloc,2.41,2113029190
bsearch,2.37,2076006325
pthread_once,2.18,1915222262
gettimeofday,2.07,1813182670
nanosleep,0.79,694526496
ctime_r,0.45,399252774
ioctl,0.40,353996930
mmap,0.36,314265170
memcpy,0.31,267906001
fgets,0.28,249152160
pthread_mutexattr_destroy,0.25,220604752
pthread_mutexattr_init,0.22,195148023
rename,0.20,177101895
read,0.19,163454777
pthread_mutexattr_settype,0.18,160469366
close,0.17,152899101
munmap,0.16,138905625
pread,0.14,124761756
fsync,0.14,118705421
getenv,0.13,113782044
pthread_setspecific,0.13,113645153
write,0.11,100042517
setjmp,0.10,91261151
fcntl,0.10,89752430
dlsym,0.10,85870101
send,0.10,46765896
gethostname,0.10,46027677
qsort,0.10,39764409
fread,0.10,37156806
recv,0.10,36946800
pthread_create,0.10,34462625
closedir,0.10,33639162
fopen,0.10,32739624
getpwuid,0.10,31623183
mkdir,0.10,24976347
geteuid,0.10,22483561
unlink,0.10,21013262
printf,0.10,19677155
fclose,0.10,18179658
fseek,0.10,17662024
access,0.10,13404920
dlclose,0.10,12624128
syslog,0.10,12131111
ftruncate,0.10,11256365
getnameinfo,0.10,10649974
rmdir,0.10,10273899
dbm_fetch,0.10,9539103
chmod,0.10,9130700
getuid,0.10,9124046
pwrite,0.10,8929255
getgid,0.10,7985163
feof,0.10,4525435
getgrgid,0.10,4203231
writev,0.10,4090529
posix_memalign,0.10,3926708
pthread_setschedparam,0.10,3829773
sched_yield,0.10,3677515
getc,0.10,2947790
socket,0.10,2798283
pthread_join,0.10,2639026
if_indextoname,0.10,2495608
setsockopt,0.10,2455692
hdestroy,0.10,2305314
pthread_detach,0.10,2016982
utimes,0.10,1951524
getaddrinfo,0.10,1948260
dbm_open,0.10,1765151
time,0.10,1723211
fchmod,0.10,1616019
sigsetjmp,0.10,1570657
inet_pton,0.10,1454988
getsockopt,0.10,1447840
fflush,0.10,1342059
getpwnam,0.10,1289818
pthread_attr_init,0.10,1054925
fileno,0.10,1034484
pthread_getschedparam,0.10,1012853
getpwuid_r,0.10,981691
pthread_attr_destroy,0.10,723680
pthread_attr_setdetachstate,0.10,715712
tzset,0.10,626933
fprintf,0.10,623281
pthread_sigmask,0.10,585033
unsetenv,0.10,571682
getcwd,0.10,570177
localtime_r,0.10,561815
pthread_attr_setscope,0.10,559386
clock,0.10,460161
puts,0.10,457033
shutdown,0.10,453271
pthread_attr_getschedparam,0.10,450091
isatty,0.10,435500
remove,0.10,363176
readlink,0.10,351313
open,0.10,315162
fwrite,0.10,281561
ungetc,0.10,243251
pthread_key_create,0.10,213480
fesetround,0.10,202453
dup,0.10,198262
pthread_kill,0.10,192429
localtime,0.10,166876
getpid,0.10,160187
ftello,0.10,159647
mlock,0.10,143224
fegetround,0.10,137741
munlock,0.10,111335
getlogin,0.10,106256
dlerror,0.10,105575
pthread_setcanceltype,0.10,64492
dirfd,0.10,62070
getegid,0.10,32662
ftell,0.10,21556
pthread_testcancel,0.10,21461
pthread_atfork,0.10,20314
pthread_key_delete,0.10,19716
inet_addr,0.10,16642
pthread_attr_setschedpolicy,0.10,16029
getrlimit,0.10,16004
pthread_attr_setschedparam,0.10,13289
pthread_attr_setinheritsched,0.10,9711
setrlimit,0.10,8515
umask,0.10,8414
funlockfile,0.10,5220
waitpid,0.10,2598
kill,0.10,2144
yn,0,0
y1,0,0
y0,0,0
wscanf,0,0
wprintf,0,0
wordfree,0,0
wordexp,0,0
wmemset,0,0
wmemmove,0,0
wmemcpy,0,0
wmemcmp,0,0
wmemchr,0,0
wcwidth,0,0
wctype_l,0,0
wctype,0,0
wctrans_l,0,0
wctrans,0,0
wctomb,0,0
wctob,0,0
wcsxfrm_l,0,0
wcsxfrm,0,0
wcswidth,0,0
wcstoumax,0,0
wcstoull,0,0
wcstoul,0,0
wcstombs,0,0
wcstoll,0,0
wcstold,0,0
wcstol,0,0
wcstok,0,0
wcstoimax,0,0
wcstof,0,0
wcstod,0,0
