Function, Apps linking(%), #Apps linking
memcpy,99.1374310,371233
abort,97.2707580,364243
free,92.8649830,347745
malloc,92.3591920,345851
memset,90.8621150,340245
raise,85.9377290,321805
strcmp,84.5845920,316738
strlen,82.3814370,308488
fclose,80.8103870,302605
fopen,80.6733910,302092
strncmp,79.9908140,299536
realloc,78.4662300,293827
fwrite,78.3009270,293208
fread,78.2592670,293052
memcmp,77.9460190,291879
memmove,77.5571950,290423
fseek,77.1665020,288960
ftell,75.7385910,283613
sprintf,73.7007390,275982
strcpy,72.4696430,271372
pow,71.9862840,269562
qsort,71.5587390,267961
close,71.3827530,267302
fprintf,70.9907250,265834
exit,70.5677200,264250
strtol,70.3252390,263342
strncpy,70.1078610,262528
strchr,70.0098540,262161
sqrt,69.7051510,261020
strstr,69.5505300,260441
fputc,69.5096710,260288
pthread_mutex_unlock,68.6751430,257163
pthread_mutex_lock,68.3135580,255809
open,68.1140730,255062
read,67.8651830,254130
snprintf,66.7956510,250125
gettimeofday,66.7809640,250070
sin,66.5975010,249383
fputs,66.2340470,248022
cos,66.2089450,247928
fflush,65.8967640,246759
floor,65.5901920,245611
strtod,65.3789560,244820
memchr,64.9946720,243381
strrchr,64.3289190,240888
write,64.3032820,240792
time,64.2947370,240760
log,64.1532010,240230
atoi,64.1150130,240087
calloc,63.6626320,238393
lseek,63.6132270,238208
pthread_mutex_init,63.5750390,238065
strerror,62.6355610,234547
getenv,62.4267280,233765
vsnprintf,62.3140340,233343
pthread_mutex_destroy,61.3836350,229859
strcat,60.7055970,227320
pthread_cond_wait,60.5744760,226829
puts,60.4249280,226269
ceil,60.3854050,226121
atan2,60.2644320,225668
printf,60.2110220,225468
pthread_key_create,59.3871760,222383
pthread_setspecific,59.3743570,222335
pthread_getspecific,59.3409760,222210
pthread_create,58.4976350,219052
sscanf,58.4853510,219006
exp,58.4004290,218688
fcntl,57.9330940,216938
localtime,57.3194150,214640
sinf,57.2729480,214466
cosf,57.0302010,213557
ungetc,56.7604810,212547
