Function,Packages linking(%),#Packages linking
memcpy,50.2195790,9034
strlen,49.7970980,8958
free,48.2795040,8685
malloc,42.0812720,7570
strcmp,36.5945860,6583
memset,30.3852350,5466
strtol,27.4223140,4933
strchr,26.3661130,4743
memmove,25.8546890,4651
fclose,24.8262830,4466
fwrite,24.4816280,4404
strncpy,24.1314140,4341
strcpy,24.0813830,4332
close,23.9646450,4311
memcmp,23.8034350,4282
realloc,23.6978150,4263
calloc,21.1406970,3803
getenv,19.3284790,3477
strncmp,18.9727060,3413
fopen,18.8170550,3385
time,18.5279890,3333
strstr,18.4501640,3319
strerror,18.4001330,3310
exit,18.1722160,3269
read,17.0270720,3063
write,15.6762470,2820
fputc,14.2587140,2565
fread,14.2475960,2563
fflush,13.5471680,2437
strcasecmp,13.5193730,2432
strrchr,13.4693420,2423
fgets,12.6021460,2267
open,12.4909670,2247
gettimeofday,12.3575520,2223
getpid,11.8016570,2123
abort,11.7794210,2119
puts,11.5014730,2069
pthread_mutex_unlock,11.4736780,2064
pthread_mutex_lock,11.4180890,2054
fcntl,11.1401410,2004
fputs,11.0789930,1993
strcat,10.6787480,1921
sqrt,10.6176000,1910
strtod,10.6064820,1908
socket,10.3896830,1869
sscanf,10.2951800,1852
unlink,10.1061760,1818
pthread_mutex_init,9.4335430,1697
pow,9.4168660,1694
qsort,9.3557170,1683
strtoul,8.9999440,1619
select,8.9554730,1611
connect,8.8498530,1592
ioctl,8.6108180,1549
rand,8.4440490,1519
opendir,8.3328700,1499
fseek,8.3106340,1495
closedir,8.3106340,1495
strncasecmp,8.1827780,1472
snprintf,8.1772190,1471
fileno,7.9937740,1438
perror,7.7213850,1389
pthread_mutex_destroy,7.6213240,1371
localtime,7.5990880,1367
feof,7.5824110,1364
access,7.2989050,1313
fork,7.2488740,1304
ferror,7.2099620,1297
log,7.1654900,1289
strftime,7.0932240,1276
floor,6.9820450,1256
mkdir,6.9264550,1246
sin,6.8541890,1233
cos,6.7930400,1222
strdup,6.6596250,1198
ftell,6.6485070,1196
exp,6.6373900,1194
pthread_cancel,6.6151540,1190
getuid,6.5984770,1187
bind,6.5039750,1170
pipe,6.3872370,1149
setsockopt,6.3427650,1141
sleep,6.2649400,1127
munmap,6.1926730,1114
rename,6.0147870,1082
kill,6.0147870,1082
waitpid,5.8869310,1059
putchar,5.8091060,1045
setlocale,5.7535160,1035
dlsym,5.7034850,1026
memchr,5.6812500,1022
ceil,5.6034240,1008
signal,5.5978650,1007
pthread_create,5.5756300,1003
readdir,5.5255990,994
atan2,5.4644500,983
fdopen,5.3365950,960
dlopen,5.3254770,958
sysconf,5.3254770,958
strtok,5.2754460,949
send,5.1587080,928
sigaction,5.1253540,922
gethostname,5.0864420,915
accept,5.0808830,914
listen,5.0808830,914
dup2,5.0252930,904
sigemptyset,5.0197340,903
